"","estados","confirmados","mortes","regiao"
"1","AC",84337,1719,"Norte"
"2","AL",203226,5002,"Nordeste"
"3","AM",391858,13119,"Norte"
"4","AP",113549,1745,"Norte"
"5","BA",1071899,22703,"Nordeste"
"6","CE",852588,21699,"Nordeste"
"7","DF",418659,8994,"Centro-Oeste"
"8","ES",501278,11193,"Sudeste"
"9","GO",645660,18180,"Centro-Oeste"
"10","MA",302903,8595,"Nordeste"
"11","MG",1694681,43206,"Sudeste"
"12","MS",317621,7636,"Centro-Oeste"
"13","MT",431920,11509,"Centro-Oeste"
"14","PA",537169,15052,"Norte"
"15","PB",366121,8237,"Nordeste"
"16","PE",524316,16932,"Nordeste"
"17","PI",286605,6283,"Nordeste"
"18","PR",1162966,28847,"Sul"
"19","RJ",913682,53242,"Sudeste"
"20","RN",286577,6508,"Nordeste"
"21","RO",239067,5944,"Norte"
"22","RR",107872,1680,"Norte"
"23","RS",1121887,29082,"Sul"
"24","SC",1012445,16082,"Sul"
"25","SE",248490,5319,"Nordeste"
"26","SP",3487385,119110,"Sudeste"
"27","TO",187805,3019,"Norte"
