Modelo;P;C;M;O
Asia_Towner;9440;3,36;40;I
Audi_A3;38850;4,15;125;I
Chevrolet_Astra;10532;4,11;110;N
Chevrolet_Blazer;16346;4,6;106;N
Chevrolet_Corsa;6176;3,73;60;N
Chevrolet_Tigra;12890;3,92;100;I
Chevrolet_Vectra;13140;4,47;110;N
Chrysler_Neon;31640;4,36;115;I
Dodge_Dakota;11630;4,98;121;N
Fiat_Fiorino;6700;4,16;76;N
Fiat_Marea;12923;4,39;127;N
Fiat_Mille;5257;3,64;57;N
Fiat_Palio;6260;3,73;61;N
Fiat_Siena;7780;4,1;61;I
Ford_Escort;10767;4,2;115;I
Ford_Fiesta;6316;3,83;52;N
Ford_Ka;5680;3,62;54;N
Ford_Mondeo;33718;4,56;130;I
Honda_Civic;14460;4,45;106;N
Hyundai_Accent;21500;4,12;91;I
Peugeot_106;13840;3,68;50;I
Renault_Clio;13700;3,7;74;I
Toyota_Corolla;15520;4,39;116;N
Toyota_Perua;24632;4,4;96;N
VW_Gol;6340;3,81;54;N
VW_Golf;22200;4,15;100;I
VW_Parati;9300;4,08;69;N
VW_Polo;12018;4,14;99;I
VW_Santana;11386;4,57;101;N
VW_Saveiro;7742;4,38;88;N
